Id,SalePrice
1461,118144.03135121317
1462,153509.353984386
1463,174353.41922047507
1464,200986.76408709638
1465,197285.67350325861
1466,183590.9519594849
1467,200776.71418746078
1468,173556.97736043538
1469,208359.29257390896
1470,114986.82193332835
1471,206821.78888621434
1472,120097.30746899136
1473,100917.39067528555
1474,151788.48385523274
1475,120202.38776804195
1476,314594.22676130425
1477,247780.88414577182
1478,292858.6242816929
1479,272754.65348595515
1480,405188.55084056733
1481,294415.9151861812
1482,218250.86183075223
1483,178477.8120089477
1484,176384.03129773168
1485,199036.93919113532
1486,211059.60355612
1487,286425.5341582926
1488,259585.32049089766
1489,186043.49099234756
1490,232174.70275245007
1491,212979.65354961957
1492,89525.41489626588
1493,218384.80019677273
1494,290560.4303901582
1495,278507.7973078928
1496,224126.5824633849
1497,171031.94360969044
1498,157655.49137914678
1499,164103.87149192835
1500,155862.76966938144
1501,201901.2428661012
1502,144251.15697114702
1503,278103.43331442075
1504,248535.20643524543
1505,226802.330396174
1506,207563.3069598859
1507,250781.05940262545
1508,206984.60463460383
1509,155344.1299900085
1510,147190.22018437268
1511,147400.7637348039
1512,191140.00401744535
1513,167915.11580859634
1514,152900.63566227173
1515,228202.22133227307
1516,171378.2917443681
1517,175822.49513389939
1518,124417.69275358543
1519,247715.8079315963
1520,130850.54798111167
1521,124425.7365179565
1522,203753.54411946953
1523,86531.61969967285
1524,114842.00814626984
1525,103390.40001495878
1526,90281.68127189155
1527,95447.06584817471
1528,156171.69297755018
1529,128842.20873694622
1530,237813.35542265465
1531,150300.20181491598
1532,110694.58725523944
1533,150858.6093188223
1534,130819.70276976538
1535,157580.80362450707
1536,107652.08047498837
1537,27954.65650851043
1538,188395.3351516292
1539,233237.11226928973
1540,108409.94960050688
1541,156819.97607835356
1542,141335.27456703855
1543,197209.50488455046
1544,76993.21924036233
1545,135785.3478176997
1546,138992.17937173875
1547,145112.13524972205
1548,141170.1945608554
1549,126138.45626459703
1550,125198.52376675341
1551,134237.8313920263
1552,131180.12731613763
1553,157310.67584062365
1554,126990.48254025124
